text,text_processed,cyberbullying_type,severity_level,original_cyberbullying_type,original_severity_level,source_dataset,source_file,original_row_id,actual_label,predicted_label,is_correct,confidence_score,char_count,word_count
tertawa lalu tb2 mnangis dulang2 sprti orgil,tertawa lalu tb2 mnangis dulang2 sprti orgil,harassment,,"['1', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,11845,harassment,normal,False,0.148109293071226,44,7
KOALISI GENDUT + BANTUAN TIDAK MENJAMIN JADI TAPI GANJAR MAHFUD KOALISI RAKYAT ARUS BAWAH PASTI MENANG 1 PUTARAN INSYAALLAH DI IJABAH DOA DAN HARAPAN RAKYAT INDONESIA,koalisi gendut bantuan tidak menjamin jadi tapi ganjar mahfud koalisi rakyat arus bawah pasti menang 1 putaran insyaallah di ijabah doa dan harapan rakyat indonesia,harassment,,"['1', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,1275,harassment,normal,False,0.553730824254675,166,26
rt memiliki makan malam epik dengan dan,rt memiliki makan malam epik dengan dan,harassment,,other_cyberbullying,,cyberbullying_cleaned_indo,cyberbullying_cleaned_indo.csv,1859,harassment,normal,False,0.010323119556099603,39,7
"BUAT AHOKER YANG TAKUT MATINYA GG DISHOLATIN , TENANG ADA ABU JANDA UST GADUNGAN YG SIAP SHOLATIN AHOKER & JOKOWER",buat ahoker yang takut matinya gg disholatin tenang ada abu janda ust gadungan yg siap sholatin ahoker jokower,hate_speech,,hate_speech,,data,data.csv,6889,hate_speech,normal,False,0.08482552362330148,114,20
"Jgn ada yg percaya dgn akun ini\n\n\xe2\x9e\xa1 USER \n\xe2\x9e\xa1 WA 081381413774\n\nAwal nya dia ga percaya sy buat\nCAMSEX, trus sy buktikan Vc beberapa detik, pas suruh Tf alesan nya neko2\n\n\xe2\xac\x87Ni muka nya kaya monyet \xe2\xac\x87 URL",jgn ada yg percaya dgn akun ini n n xe2 x9e xa1 user n xe2 x9e xa1 wa 081381413774 n nawal nya dia ga percaya sy buat ncamsex trus sy buktikan vc beberapa detik pas suruh tf alesan nya neko2 n n xe2 xac x87ni muka nya kaya monyet xe2 xac x87 url,hate_speech,,hate_speech,,data,data.csv,676,hate_speech,insult,False,0.3313713363040276,249,35
USER USER Wkwkwkwkwkwkk kebayang monyet kera sakti\xf0\x9f\x98\x82\xf0\x9f\x98\x82',user user wkwkwkwkwkwkk kebayang monyet kera sakti xf0 x9f x98 x82 xf0 x9f x98 x82,normal,,normal,,data,data.csv,10837,normal,insult,False,0.2282645252146831,83,7
Inilah agama yg mendukung lgbt,inilah agama yg mendukung lgbt,harassment,,"['0', '1', '1']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,23482,harassment,normal,False,-0.2734875928882936,30,5
Kenapa #2019GantiPresiden ?; ; ?Karena Pengangguran Meningkat?,kenapa karena pengangguran meningkat,hate_speech,,hate_speech,,data,data.csv,1057,hate_speech,normal,False,0.19959768403158196,62,7
rt whose sexist likeagirl vs sogretitsaboy antisjw womenofstfeminism,rt whose sexist likeagirl vs sogretitsaboy antisjw womenofstfeminism,hate_speech,,gender,,cyberbullying_cleaned_indo,cyberbullying_cleaned_indo.csv,830,hate_speech,normal,False,-0.08904991518194338,68,8
"@Muhamma66066409 @OmJ_JeNggot Yang jelas semua syiah SESAT Regardless! Mereka yang mengaku diluar gol itsna asyariyah dan konsep imamahnya pun beraqidah sama, me lebih2 kan kel Ali radhiyallah lbh dari sahabat yang lain, ini bukan aqidah muslimin ahluls sunnah",USER_MENTION USER_MENTION yang jelas semua syiah sesat regardless mereka yang mengaku diluar gol itsna asyariyah dan konsep imamahnya pun beraqidah sama me lebih2 kan kel ali radhiyallah lbh dari sahabat yang lain ini bukan aqidah muslimin ahluls sunnah,harassment,,['1'],,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,25615,harassment,normal,False,-0.02369777853080912,260,38
gagasan radikal bahwa agama dan budaya terisolasi konsepkonsep yang tidak mempengaruhi satu sama lain adalah alat yang sangat efektif dari supremasi kristen bahkan orangorang yang mengaku menolak kekristenan terus mendukung dan memajukan hegemoni budaya kristen,gagasan radikal bahwa agama dan budaya terisolasi konsepkonsep yang tidak mempengaruhi satu sama lain adalah alat yang sangat efektif dari supremasi kristen bahkan orangorang yang mengaku menolak kekristenan terus mendukung dan memajukan hegemoni budaya kristen,hate_speech,,religion,,cyberbullying_cleaned_indo,cyberbullying_cleaned_indo.csv,2265,hate_speech,normal,False,0.6194292849058243,261,35
untuk semua yang anda katakan noooo mkr menyeret pada ada tim seminggu setelah ini restaunts instan,untuk semua yang anda katakan noooo mkr menyeret pada ada tim seminggu setelah ini restaunts instan,normal,,not_cyberbullying,,cyberbullying_cleaned_indo,cyberbullying_cleaned_indo.csv,1492,normal,harassment,False,0.21421544740811582,99,16
USER saya lengket seperti permen karet yg nempel di pantat guru',user saya lengket seperti permen karet yg nempel di pantat guru,insult,,insult,,data,data.csv,6257,insult,normal,False,-0.06198178902810397,64,11
"Kata Syaikh Abu Hayyan Bafadal hafidzahullah , yang namanya ibadah itu harus sesuai dengan contoh ( fi'liyah ) dari rasulullah saja , dan kalau tidak sesuai atau tidak ada contoh ( fi'liyah ) dari rasulullah baik itu tentang tata cara , tempat , waktu dan jumlah , maka itu adalah perkara bid'ah Wah berarti ummat wahabi khawarij yang melakukan sholat fardlu yang tata cara , waktu tempat dan jumlah yang di lakukan di Indonesia itu tertolak semua berarti ya , karena bid'ah ga di contohkan rasulullah dalam fi'liyahnya 😂😂😂😂 Dan nanti dauroh yang di khususkan pelaksanaannya di hari minggu yang menyerupai ummat kristen , berarti bid'ah juga tuh karena menganggap agama itu masih belum sempurnah 😂😂😂😂",kata syaikh abu hayyan bafadal hafidzahullah yang namanya ibadah itu harus sesuai dengan contoh fi liyah dari rasulullah saja dan kalau tidak sesuai atau tidak ada contoh fi liyah dari rasulullah baik itu tentang tata cara tempat waktu dan jumlah maka itu adalah perkara bid ah wah berarti ummat wahabi khawarij yang melakukan sholat fardlu yang tata cara waktu tempat dan jumlah yang di lakukan di indonesia itu tertolak semua berarti ya karena bid ah ga di contohkan rasulullah dalam fi liyahnya dan nanti dauroh yang di khususkan pelaksanaannya di hari minggu yang menyerupai ummat kristen berarti bid ah juga tuh karena menganggap agama itu masih belum sempurnah,normal,,['0'],,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,27862,normal,harassment,False,0.03573200144598887,700,116
Semoga Partai Keadilan Sejahtera dapat memperjuangkan hak-hak LGBT dengan adil. #aamiin8terdepan,semoga partai keadilan sejahtera dapat memperjuangkan hak hak lgbt dengan adil,normal,,"['0', '0', '0', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,4592,normal,harassment,False,0.25621118285167144,96,11
"Hanya zionis Israel yang Keukeh dengan segala tindakannya di tengah tekanan dunia, memang kaum bebal sejak dulu #FreePalestine #IsraelGenocide",hanya zionis israel yang keukeh dengan segala tindakannya di tengah tekanan dunia memang kaum bebal sejak dulu,normal,,['0'],,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,15795,normal,harassment,False,0.11829355752587756,142,19
Anjir kalo ngebom rumah sakit udah bukan self defense lagi cok itu mah pembunuhan masal gaada orang self defense dari orang sakit anjir lah gila cok,anjir kalo ngebom rumah sakit udah bukan self defense lagi cok itu mah pembunuhan masal gaada orang self defense dari orang sakit anjir lah gila cok,normal,,"['0', '0', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,19484,normal,harassment,False,0.637132057878487,148,26
Bayangkan....... Ketika kalian pulang ke rumah Ada bendera kuning Merah Biru Hijau Rumah kalian markas lgbtq+,bayangkan ketika kalian pulang ke rumah ada bendera kuning merah biru hijau rumah kalian markas lgbtq,harassment,,"['1', '1', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,24635,harassment,normal,False,0.2582352188271078,109,16
"Goodstats Pengakuan Palestina & Israel dari Negara ASEAN Hanya mengakui Israel Hanya mengakui Palestina Mengakui Palestina dan Israel Gambar:Dilok SeaStats hutterstock Myanmar dan Singapura hanya mengakui Israel saja. Indonesia, Malaysia, Brunei hanya mengakui Palestina. Sementara sisanya mengakui kedua negara tersebut. How About You?

#goodstats
#infografik",goodstats pengakuan palestina israel dari negara asean hanya mengakui israel hanya mengakui palestina mengakui palestina dan israel gambar dilok seastats hutterstock myanmar dan singapura hanya mengakui israel saja indonesia malaysia brunei hanya mengakui palestina sementara sisanya mengakui kedua negara tersebut how about you,harassment,,"['1', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,20475,harassment,normal,False,0.21562761829144433,360,45
Lama lama kek orgil gw,lama lama kek orgil gw,normal,,"['0', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,6669,normal,harassment,False,0.2943312313390517,22,5
"Sama Halnya Dengan Indonesia, Terungkap Alasan Israel Juga Incar F-15EX Dari Amerika",sama halnya dengan indonesia terungkap alasan israel juga incar f 15ex dari amerika,normal,,['0'],,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,20603,normal,harassment,False,-0.0313039865791348,84,12
"▪️ ••┈┈✺ ﷽ ✺┈┈•• ▪️ SUFI DAN SYIAH BAGAI PINANG DIBELAH DUA Siapapun yang mengetahui hakikat tasawwuf (Sufi) dan tasyayyu’ (Syi’ah), ia akan mendapatkan keduanya seperti pinang dibelah dua. Keduanya berasal dari sumber yang sama, dan memiliki tujuan yang sama. Oleh karena itu, kedua firqah ini memiliki kesamaan dalam pemikiran dan aqidah. Oleh karena itu, mereka memiliki metode khusus dalam menafsirkan Al-Qur`ân yang akhirnya melahirkan berbagai takwil kebatinan terhadap nash-nash Al-Qur`ân dan bisikan-bisikan khayalan mereka, yang dikenal dengan istilah ilmu bathin. Menurut mereka, hasil penafsiran diwariskan oleh Rasulullah (truncated)",sufi dan syiah bagai pinang dibelah dua siapapun yang mengetahui hakikat tasawwuf sufi dan tasyayyu syi ah ia akan mendapatkan keduanya seperti pinang dibelah dua keduanya berasal dari sumber yang sama dan memiliki tujuan yang sama oleh karena itu kedua firqah ini memiliki kesamaan dalam pemikiran dan aqidah oleh karena itu mereka memiliki metode khusus dalam menafsirkan al qur ân yang akhirnya melahirkan berbagai takwil kebatinan terhadap nash nash al qur ân dan bisikan bisikan khayalan mereka yang dikenal dengan istilah ilmu bathin menurut mereka hasil penafsiran diwariskan oleh rasulullah truncated,harassment,,['1'],,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,26045,harassment,normal,False,0.3616853245668957,645,89
