text,true_label,pred_naive_bayes,pred_logistic_regression,pred_svm
ganti mudah n ekonomi baik sulit,hate_speech,normal,normal,normal
modal cocot doang mas,insult,hate_speech,hate_speech,hate_speech
ken cepat pilpres neh biar tenang negara gaduh,hate_speech,normal,normal,normal
tai dah ade ade aje yutuber plokis ngerjain bocah au,insult,normal,hate_speech,hate_speech
pandang benci tampak cacat selamat gaes,threat,normal,normal,normal
uang sulit kelola jangka pendek sesuai hidup beda,insult,normal,normal,normal
dau minimal umur hidup cobain takoyaki rizky jalan sayang dah worth it enak abang jual ramah gila,threat,normal,normal,normal
babi mukim zionis tembak jamaah shalat jum at pulang masjid kota hebron tepi barat palestina aksi kecut sama warga palestina bunuh pasu zionis insiden pisah wilayah,insult,normal,normal,normal
luhut si muka bajing skrng perusahaany bnyk duit mn,threat,insult,insult,insult
milu maksud jokowi lengser makzul makzul presiden pilih pilih curang cacat konstitusi sekongkol jahat kpu langgar,insult,hate_speech,hate_speech,normal
budek buta kerja rakyat jongos aseng da xe x xa,threat,hate_speech,normal,normal
halah kampret ngirim,insult,hate_speech,hate_speech,hate_speech
fck orang myanmar noob sial main ml fckk,hate_speech,hate_speech,normal,normal
kena bacot lg,insult,hate_speech,hate_speech,hate_speech
zionis yahudi anggap anak palestina akan bom hancur hapus muka bumi segan mambantai anak palestina,hate_speech,normal,normal,normal
assalamualaikum gaul wahabi sesat wahabi hobi langkan ustadz ustadz wahabi salaf manhaj salaf upaya hasrat sahwat penuh ikut,harassment,hate_speech,hate_speech,hate_speech
mang enak zinchenko dicadangin mulu sok an bela israel,insult,normal,normal,normal
gibran mundur cawpres prabowo,normal,normal,hate_speech,hate_speech
ikut ikut acak rtfav barangbarang suka aneh,insult,normal,normal,normal
anies baswedan ubah nama mahdi yohanis khan,insult,normal,normal,normal
oke paham alquran colok wanita pilih wanita patuh lakilaki,hate_speech,normal,hate_speech,harassment
gedung gaza luluh karna bom israel rs skolah tmpt ibadah mnurut konvensi genewa dilrang serang mlah ssaran pesawat bom idf zionis laknatullah mlakukan genosida g diam,hate_speech,normal,normal,normal
cacat hukum sj dibiarin dukung yakaaaannn lucu cerdas kek km,threat,hate_speech,hate_speech,normal
nyindir de,hate_speech,normal,normal,normal
eks sekjen nato netanyahu politis buruk sejarah israel,insult,normal,normal,normal
tipu duh,normal,hate_speech,hate_speech,hate_speech
mkr dapat pukul senyum sombong wajah kat please,harassment,normal,normal,normal
keliru foto klaim pimpin militer as tewas gaza,hate_speech,normal,normal,normal
bikin gubernur prestasi pilih rakyat mekanisme gubernur prestasiny nyata hasil citra pres melulu jawa,normal,normal,hate_speech,hate_speech
xf x f x xb mari gera anti bully netizen cerdas n xf x f x xb cuy dah liat ig syahrini n xf x f x xb anjing dibiarin ma xe x xa,insult,hate_speech,hate_speech,normal
wajar juang palestina usir jajah israel tanah lahir jajah dunia hapus bayang ghoyim pesek budak netanyahu londo ireng tuding juang inlander teroris nggak merdeka nkri,insult,hate_speech,hate_speech,normal
zalim kroni kroni megawati menang zalim kroni kroni daur ulang sejarah,hate_speech,normal,normal,normal
smakin bodoh pancasila uud tap mpr no final pki larang kecebong rayu rayu presiden perpu,hate_speech,hate_speech,hate_speech,normal
tambah promosi nikah muda kelit sok inosen ajar meni mosok ajar ganti gera nikah muda hindar zina please,hate_speech,normal,hate_speech,normal
kau wanita bohong keras seksual traumatis fifty aku laku wanita aku apa abdi buta wanita kristen,hate_speech,normal,normal,normal
hujat njangan munafik non,hate_speech,hate_speech,normal,normal
