actual_label,predicted_label,confidence_score,text,human_review_category
harassment,normal,0.7942298084685125,"BONAJUMA ZONE Ngamuk Saat Dirujuk Ke RS, ODGJ Di Aceh Bawa Kabur Ambulans",
normal,hate_speech,0.980828431385695,"USER ""Aduh.. mau eek""'",
hate_speech,harassment,1.0228492335971588,#MataNajwaDebatJakarta Anies anda SADIS. Topengmu terbuka lebar malam ini. Biar warga DKI yg menilai...apa yg anda katakan adalah PENGECUT,
insult,hate_speech,1.4266522228805503,Ahok versi Pakpahan .. Trims kepada semua pihak yg udah ciduk bajingan ini URL,
normal,harassment,1.1864963478026822,"Yg terjadi hr ini kpd zionis israel adl akibat perbuatan mrk sendiri yg tlah menindas palestina berpuluh2 tahun,",
normal,hate_speech,0.8609746832229648,"Kenapa setelah mau lengser baru ngomong seperti ini , seharusnya 2014 atau 2019 lalu , ini namanya cuci tangan , wong penjajahnya semua pasti sudah bapak kenal , terutama Kelompok Taipan etnis Cina 9 Naga, inilah penjajah , perampas tanah warga Pribumi NKRI selama ini.",
harassment,normal,1.0310193513840198,"Untuk kelima kalinya, penjajah meminta keluarga Palestina meninggalkan rumah mereka dan menuju Gaza selatan. Ketika keluarga2 Palestina turun ke jalan dan menuju ke Gaza selatan, hanya beberapa menit berlalu dan pendudukan mengkhianati mereka, dan pesawat Israel menyerang warga",
harassment,normal,1.008639749134851,Ya Allah aku tau aku pendosa Tapi tolong 1 aj kabulkan doa kami Ratakan Israel tanpa sisa,
harassment,normal,0.8643418037890377,"mungkin TPNPB OPM lebih percaya orang China dari pada orang asli Papua yang berjuang dengan caranya sendiri, Mungkin TPNPB OPM kerjasama deng China nanti",
normal,harassment,0.8867094576671034,"Kecacatan LGBT, diberi ruang kononnya kebebasan hak. Hedonisme dirancakkan lagi dengan Radiohead.'",
harassment,normal,0.8289789757104754,PARK SEONGHWA BRENGSEKKKKKK GUE GILA GEGARA ELUUUUU ANJING GUE PALING GATAHAN TEMA KERAJAAN GINI ANJINGGGG,
harassment,normal,1.130311233987058,"🚨 Breaking News 🚨 🔥 Update Korban Di Gaza 🔥 ✍🏻 Ahad (8/10), Pukul 10.32 waktu setempat Menurut Kementerian Kesehatan (sumber Al-Jazeera), dampak agresi militer penjajah israel telah memakan korban warga sipil di Gaza sebanyak 313 orang gugur (di antaranya 20 anak-anak)",
harassment,hate_speech,0.7862526600487498,"AKSI BURUH 
hari ini senin 2 Okt'24 
Bakar baleho gambar Luhut. jkw
E muka kusam Bahlul.
Lengserkan pejabat yg pro cina maksa Gusur rakyat.
MANTAB saudaku",
normal,harassment,0.9634037692281939,"gw lagi di gacoan ngagel, sumpah sebelah gw ada gay couple gemezz banget, botty nya lucu mungil bgt omagaaa im so jealous",
normal,harassment,0.8526630150484135,"Allah Maha Kuasa lagi Maha membolak-balikan hati manusia, semoga orang2 yg masih mendukung zionis dan tertutup akan kenyataan yg sebenarnya bisa terbuka hatinya, aamiin",
harassment,normal,0.9270327913597334,"Sheikh Ahmed Yassin, Pendiri Hamas, Meski Lumpuh, Dia Mampu Melawan Israel",
insult,hate_speech,0.9823295787065527,"RT USER: Rindu ini memang bajingan, datang sepagi ini.\xf0\x9f\x98\xa9'",
normal,hate_speech,1.349585836613525,USER Pendukung rezim ini memang warrrbisah',
normal,hate_speech,0.8177634559028133,jangan lupa bahwa joan rivers adalah bajingan istimewa yang terus merengek tentang kurangnya hak untuk menceritakan lelucon menindas,
