text,text_processed,cyberbullying_type,severity_level,original_cyberbullying_type,original_severity_level,source_dataset,source_file,original_row_id,actual_label,predicted_label,is_correct,confidence_score,char_count,word_count
"BONAJUMA ZONE Ngamuk Saat Dirujuk Ke RS, ODGJ Di Aceh Bawa Kabur Ambulans",bonajuma zone ngamuk saat dirujuk ke rs odgj di aceh bawa kabur ambulans,harassment,,"['1', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,4263,harassment,normal,False,0.7942298084685125,73,13
"USER ""Aduh.. mau eek""'",user aduh mau eek,normal,,normal,,data,data.csv,6207,normal,hate_speech,False,0.980828431385695,22,4
#MataNajwaDebatJakarta Anies anda SADIS. Topengmu terbuka lebar malam ini. Biar warga DKI yg menilai...apa yg anda katakan adalah PENGECUT,anies anda sadis topengmu terbuka lebar malam ini biar warga dki yg menilai apa yg anda katakan adalah pengecut,hate_speech,,hate_speech,,data,data.csv,6506,hate_speech,harassment,False,1.0228492335971588,138,19
Ahok versi Pakpahan .. Trims kepada semua pihak yg udah ciduk bajingan ini URL,ahok versi pakpahan trims kepada semua pihak yg udah ciduk bajingan ini url,insult,,insult,,data,data.csv,3115,insult,hate_speech,False,1.4266522228805503,78,14
"Yg terjadi hr ini kpd zionis israel adl akibat perbuatan mrk sendiri yg tlah menindas palestina berpuluh2 tahun,",yg terjadi hr ini kpd zionis israel adl akibat perbuatan mrk sendiri yg tlah menindas palestina berpuluh2 tahun,normal,,['0'],,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,16511,normal,harassment,False,1.1864963478026822,112,18
"Kenapa setelah mau lengser baru ngomong seperti ini , seharusnya 2014 atau 2019 lalu , ini namanya cuci tangan , wong penjajahnya semua pasti sudah bapak kenal , terutama Kelompok Taipan etnis Cina 9 Naga, inilah penjajah , perampas tanah warga Pribumi NKRI selama ini.",kenapa setelah mau lengser baru ngomong seperti ini seharusnya 2014 atau 2019 lalu ini namanya cuci tangan wong penjajahnya semua pasti sudah bapak kenal terutama kelompok taipan etnis cina 9 naga inilah penjajah perampas tanah warga pribumi nkri selama ini,normal,,['0'],,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,23152,normal,hate_speech,False,0.8609746832229648,269,45
"Untuk kelima kalinya, penjajah meminta keluarga Palestina meninggalkan rumah mereka dan menuju Gaza selatan. Ketika keluarga2 Palestina turun ke jalan dan menuju ke Gaza selatan, hanya beberapa menit berlalu dan pendudukan mengkhianati mereka, dan pesawat Israel menyerang warga",untuk kelima kalinya penjajah meminta keluarga palestina meninggalkan rumah mereka dan menuju gaza selatan ketika keluarga2 palestina turun ke jalan dan menuju ke gaza selatan hanya beberapa menit berlalu dan pendudukan mengkhianati mereka dan pesawat israel menyerang warga,harassment,,"['0', '1', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,18334,harassment,normal,False,1.0310193513840198,278,38
Ya Allah aku tau aku pendosa Tapi tolong 1 aj kabulkan doa kami Ratakan Israel tanpa sisa,ya allah aku tau aku pendosa tapi tolong 1 aj kabulkan doa kami ratakan israel tanpa sisa,harassment,,['1'],,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,11116,harassment,normal,False,1.008639749134851,89,17
"mungkin TPNPB OPM lebih percaya orang China dari pada orang asli Papua yang berjuang dengan caranya sendiri, Mungkin TPNPB OPM kerjasama deng China nanti",mungkin tpnpb opm lebih percaya orang china dari pada orang asli papua yang berjuang dengan caranya sendiri mungkin tpnpb opm kerjasama deng china nanti,harassment,,"['1', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,6612,harassment,normal,False,0.8643418037890377,153,24
"Kecacatan LGBT, diberi ruang kononnya kebebasan hak. Hedonisme dirancakkan lagi dengan Radiohead.'",kecacatan lgbt diberi ruang kononnya kebebasan hak hedonisme dirancakkan lagi dengan radiohead,normal,,normal,,data,data.csv,6340,normal,harassment,False,0.8867094576671034,98,12
PARK SEONGHWA BRENGSEKKKKKK GUE GILA GEGARA ELUUUUU ANJING GUE PALING GATAHAN TEMA KERAJAAN GINI ANJINGGGG,park seonghwa brengsekkkkkk gue gila gegara eluuuuu anjing gue paling gatahan tema kerajaan gini anjingggg,harassment,,"['1', '1', '1', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,12173,harassment,normal,False,0.8289789757104754,106,15
